2026-08-16 20:23:23,554 | INFO    | src.transformation.dimensions | dim_indicador: 31 linhas
2026-08-16 20:23:23,554 | INFO    | src.transformation.dimensions | dim_abrangencia: 1 linhas
2026-08-16 20:23:23,554 | INFO    | src.transformation.dimensions | dim_agente: 1 linhas
2026-08-16 20:23:23,554 | INFO    | src.transformation.dimensions | dim_arma: 2 linhas
2026-08-16 20:23:23,554 | INFO    | src.transformation.dimensions | dim_faixa_etaria: 1 linhas
2026-08-16 20:23:23,554 | INFO    | src.transformation.dimensions | dim_sexo: 3 linhas
2026-08-16 20:23:23,572 | INFO    | src.transformation.fact | fact_indicadores construída: 58 linhas
2026-08-16 20:23:23,584 | INFO    | src.transformation.staging | STAGING construído: 24 linhas (idêntico ao RAW), 14 colunas
2026-08-16 20:23:23,592 | INFO    | src.transformation.fact | Agregação por grão real: 24 linhas STAGING -> 23 linhas de grão único (1 linhas combinadas por SUM dentro da mesma chave dimensional)
2026-08-16 20:23:23,592 | INFO    | src.transformation.dimensions | Anos com cobertura parcial (< 12 meses na fonte): [2031]
2026-08-16 20:23:23,592 | INFO    | src.transformation.dimensions | dim_tempo: 15 linhas
2026-08-16 20:23:23,592 | INFO    | src.transformation.dimensions | dim_localidade: 3 linhas
2026-08-16 20:23:23,592 | INFO    | src.transformation.dimensions | dim_indicador: 31 linhas
2026-08-16 20:23:23,592 | INFO    | src.transformation.dimensions | dim_abrangencia: 1 linhas
2026-08-16 20:23:23,592 | INFO    | src.transformation.dimensions | dim_agente: 1 linhas
2026-08-16 20:23:23,592 | INFO    | src.transformation.dimensions | dim_arma: 2 linhas
2026-08-16 20:23:23,592 | INFO    | src.transformation.dimensions | dim_faixa_etaria: 1 linhas
2026-08-16 20:23:23,592 | INFO    | src.transformation.dimensions | dim_sexo: 3 linhas
2026-08-16 20:23:23,618 | INFO    | src.transformation.fact | fact_indicadores construída: 58 linhas
2026-08-16 20:23:23,717 | INFO    | src.validation.reconciliation | RECONCILIAÇÃO: todos os 31 eventos com status PASS (RAW == STAGING == FACT)
2026-08-16 20:23:23,717 | INFO    | src.transformation.staging | STAGING construído: 24 linhas (idêntico ao RAW), 14 colunas
2026-08-16 20:23:23,717 | INFO    | src.transformation.fact | Agregação por grão real: 24 linhas STAGING -> 23 linhas de grão único (1 linhas combinadas por SUM dentro da mesma chave dimensional)
2026-08-16 20:23:23,717 | INFO    | src.transformation.dimensions | Anos com cobertura parcial (< 12 meses na fonte): [2031]
2026-08-16 20:23:23,733 | INFO    | src.transformation.dimensions | dim_tempo: 15 linhas
2026-08-16 20:23:23,741 | INFO    | src.transformation.dimensions | dim_localidade: 3 linhas
2026-08-16 20:23:23,741 | INFO    | src.transformation.dimensions | dim_indicador: 31 linhas
2026-08-16 20:23:23,741 | INFO    | src.transformation.dimensions | dim_abrangencia: 1 linhas
2026-08-16 20:23:23,741 | INFO    | src.transformation.dimensions | dim_agente: 1 linhas
2026-08-16 20:23:23,741 | INFO    | src.transformation.dimensions | dim_arma: 2 linhas
2026-08-16 20:23:23,741 | INFO    | src.transformation.dimensions | dim_faixa_etaria: 1 linhas
2026-08-16 20:23:23,741 | INFO    | src.transformation.dimensions | dim_sexo: 3 linhas
2026-08-16 20:23:23,759 | INFO    | src.transformation.fact | fact_indicadores construída: 58 linhas
2026-08-16 20:23:23,844 | INFO    | src.validation.reconciliation | RECONCILIAÇÃO: todos os 31 eventos com status PASS (RAW == STAGING == FACT)
2026-08-16 20:23:23,849 | INFO    | src.transformation.staging | STAGING construído: 24 linhas (idêntico ao RAW), 14 colunas
2026-08-16 20:23:23,860 | INFO    | src.transformation.staging | STAGING construído: 24 linhas (idêntico ao RAW), 14 colunas
2026-08-16 20:23:23,868 | INFO    | src.transformation.staging | STAGING construído: 24 linhas (idêntico ao RAW), 14 colunas
2026-08-16 20:23:23,878 | INFO    | src.transformation.staging | STAGING construído: 24 linhas (idêntico ao RAW), 14 colunas
2026-08-16 20:37:14,883 | INFO    | __main__ | Aplicando sql\analytics\001_schema_and_core_view.sql
2026-08-16 20:37:14,930 | INFO    | __main__ | Aplicando sql\analytics\002_visoes_dimensionais.sql
2026-08-16 20:37:14,979 | INFO    | __main__ | Aplicando sql\analytics\003_visoes_temporais.sql
2026-08-16 20:37:14,996 | INFO    | __main__ | Aplicando sql\analytics\004_rankings.sql
2026-08-16 20:37:15,008 | INFO    | __main__ | Aplicando sql\analytics\005_pesos_outliers.sql
2026-08-16 20:37:15,014 | INFO    | __main__ | Aplicando sql\analytics\006_powerbi_dim_indicador.sql
2026-08-16 20:37:15,014 | INFO    | __main__ | Aplicando sql\analytics\007_data_quality_views.sql
2026-08-16 20:37:15,026 | INFO    | __main__ | Camada analítica aplicada: 7 arquivo(s) SQL executado(s).
2026-08-16 20:38:53,462 | INFO    | src.transformation.staging | STAGING construído: 24 linhas (idêntico ao RAW), 14 colunas
2026-08-16 20:38:53,472 | INFO    | src.transformation.dimensions | Anos com cobertura parcial (< 12 meses na fonte): [2031]
2026-08-16 20:38:53,494 | INFO    | src.transformation.dimensions | dim_tempo: 15 linhas
2026-08-16 20:38:53,494 | INFO    | src.transformation.dimensions | dim_localidade: 3 linhas
2026-08-16 20:38:53,494 | INFO    | src.transformation.dimensions | dim_indicador: 31 linhas
